timestamp(s),px(m),py(m),pz(m),qw,qx,qy,qz
320345.827430,0.026353,-0.137696,-0.007807,0.007274,-0.033964,-0.860412,0.508394
320345.861250,0.026580,-0.148556,-0.013060,0.008982,-0.033877,-0.863773,0.502556
320345.895069,0.026761,-0.159804,-0.018245,0.011294,-0.034403,-0.866804,0.497640
320345.928889,0.026604,-0.170351,-0.023159,0.013994,-0.034624,-0.869403,0.492696
320345.962709,0.026467,-0.179885,-0.027642,0.015145,-0.034549,-0.872059,0.487878
320345.996528,0.025993,-0.188565,-0.032321,0.016410,-0.033794,-0.873874,0.484601
320346.030348,0.027251,-0.197469,-0.036378,0.017041,-0.030915,-0.876143,0.480839
320346.064168,0.027157,-0.204938,-0.040093,0.015097,-0.028634,-0.879203,0.475327
320346.097988,0.026449,-0.212678,-0.043703,0.012985,-0.026390,-0.882362,0.469735
320346.131807,0.026301,-0.220889,-0.048238,0.011983,-0.025351,-0.886199,0.462046
320346.165627,0.026595,-0.227691,-0.052139,0.011890,-0.024940,-0.890321,0.454849
320346.199446,0.026124,-0.233665,-0.056005,0.012764,-0.024922,-0.893190,0.448775
320346.233266,0.025652,-0.238472,-0.059190,0.013080,-0.024830,-0.896431,0.442205
320346.267086,0.025405,-0.242918,-0.062262,0.013067,-0.024789,-0.898973,0.437015
320346.300905,0.025103,-0.245942,-0.064955,0.012765,-0.025107,-0.900763,0.433265
320346.334725,0.025426,-0.249172,-0.067178,0.012138,-0.024536,-0.902049,0.430875
320346.368545,0.024752,-0.252229,-0.068533,0.011379,-0.024893,-0.902514,0.429683
320346.402365,0.023498,-0.254902,-0.069027,0.009293,-0.024547,-0.903226,0.428545
320346.436184,0.022841,-0.256194,-0.068542,0.006206,-0.024141,-0.903822,0.426642
320346.470004,0.021567,-0.256916,-0.067600,0.003433,-0.024449,-0.905011,0.424863
320346.503823,0.020912,-0.256429,-0.065633,0.001190,-0.025324,-0.901033,0.422296
320346.537643,0.019872,-0.254169,-0.063180,0.000961,-0.026495,-0.901348,0.423834
320346.571463,0.019152,-0.251090,-0.060963,0.002575,-0.027707,-0.903488,0.426310
320346.605282,0.018778,-0.246561,-0.058313,0.005847,-0.028377,-0.902938,0.427774
320346.639102,0.019350,-0.240887,-0.055427,0.009420,-0.029122,-0.901669,0.431203
320346.672922,0.020172,-0.234402,-0.051994,0.010358,-0.028328,-0.899689,0.435629
320346.706742,0.020340,-0.226348,-0.047444,0.008342,-0.026889,-0.897324,0.440450
320346.740561,0.019757,-0.217906,-0.042804,0.005363,-0.025336,-0.896217,0.444049
320346.774381,0.020497,-0.210058,-0.038435,0.002417,-0.023731,-0.892289,0.447710
320346.808201,0.020945,-0.202285,-0.033878,0.001629,-0.023212,-0.891023,0.453914
320346.842020,0.021347,-0.193966,-0.029358,0.002615,-0.023691,-0.885910,0.458838
320346.875840,0.022506,-0.185671,-0.024955,0.004540,-0.024914,-0.884696,0.462927
320346.909660,0.022726,-0.177581,-0.020725,0.010538,-0.026396,-0.881828,0.470634
320346.943479,0.023641,-0.169464,-0.015463,0.017282,-0.027304,-0.878241,0.477209
320346.977299,0.025148,-0.162025,-0.011778,0.022866,-0.027895,-0.876843,0.479454
320347.011119,0.027460,-0.152525,-0.006553,0.029428,-0.028956,-0.876030,0.480472
320347.044939,0.030763,-0.143761,-0.000816,0.036498,-0.030107,-0.873187,0.485064
320347.078758,0.034887,-0.134961,0.004738,0.042537,-0.029757,-0.871157,0.488251
320347.112578,0.038618,-0.124604,0.010096,0.048157,-0.028145,-0.869365,0.491020
320347.146397,0.043148,-0.114409,0.015731,0.054144,-0.026393,-0.866481,0.495568
320347.180217,0.048068,-0.103762,0.020849,0.061449,-0.024979,-0.862798,0.501173
320347.214037,0.053018,-0.092997,0.026014,0.070723,-0.024633,-0.858009,0.508143
320347.247856,0.056551,-0.081947,0.030121,0.078975,-0.025714,-0.853278,0.514801
320347.281676,0.061572,-0.072075,0.033553,0.085016,-0.027784,-0.850218,0.518776
320347.315496,0.068156,-0.062588,0.038092,0.091476,-0.030709,-0.847644,0.521719
320347.349316,0.073426,-0.053965,0.041164,0.098432,-0.033736,-0.844021,0.526121
320347.383135,0.078690,-0.046073,0.043968,0.104344,-0.036133,-0.841110,0.529473
320347.416955,0.084159,-0.039228,0.046142,0.111500,-0.038518,-0.838340,0.532232
320347.450775,0.089195,-0.033254,0.048059,0.120088,-0.041108,-0.836103,0.533688
320347.484594,0.094275,-0.027864,0.051185,0.129231,-0.042267,-0.832709,0.536759
320347.518414,0.100331,-0.024178,0.052855,0.136203,-0.042110,-0.829595,0.539859
320347.552234,0.105942,-0.020583,0.054093,0.141255,-0.039880,-0.825689,0.544695
320347.586053,0.111834,-0.018466,0.053791,0.150072,-0.037661,-0.818491,0.553293
320347.619873,0.119107,-0.014372,0.056917,0.159353,-0.034745,-0.810241,0.562946
320347.653693,0.126952,-0.013922,0.055574,0.166783,-0.031990,-0.805328,0.567985
320347.687513,0.133645,-0.010720,0.054965,0.172304,-0.027407,-0.803119,0.569701
320347.721332,0.141149,-0.007413,0.053999,0.176413,-0.022359,-0.801587,0.570820
320347.755152,0.148028,-0.005469,0.053532,0.180132,-0.018180,-0.801140,0.570435
320347.788971,0.154961,-0.004731,0.052436,0.182391,-0.013794,-0.800613,0.570580
320347.822791,0.161761,-0.004349,0.051193,0.182811,-0.008876,-0.800421,0.570813
320347.856611,0.168123,-0.004446,0.050351,0.182702,-0.003792,-0.800633,0.570608
320347.890430,0.174285,-0.005172,0.049412,0.183497,0.000949,-0.801264,0.569477
320347.924250,0.180019,-0.006927,0.047752,0.187045,0.003789,-0.801838,0.567499
320347.958070,0.185681,-0.008421,0.046247,0.192384,0.005333,-0.801317,0.566437
320347.991890,0.191224,-0.010178,0.044745,0.197430,0.006821,-0.800329,0.566082
320348.025709,0.196512,-0.012243,0.042789,0.202656,0.007672,-0.799432,0.565491
320348.059529,0.201329,-0.014232,0.040925,0.206686,0.009114,-0.799137,0.564428
320348.093348,0.205483,-0.016393,0.038869,0.208601,0.011783,-0.798509,0.564561
320348.127168,0.208628,-0.018137,0.036716,0.207089,0.015208,-0.798010,0.565742
320348.160988,0.210991,-0.019532,0.033943,0.201804,0.019289,-0.799437,0.565512
320348.194807,0.211807,-0.019089,0.033101,0.192854,0.024763,-0.803543,0.562594
320348.228627,0.212565,-0.018623,0.033684,0.183271,0.029488,-0.806708,0.561039
320348.262447,0.210943,-0.017120,0.034214,0.173931,0.032333,-0.809341,0.560062
320348.296267,0.207862,-0.015858,0.035785,0.164273,0.034478,-0.813153,0.557323
320348.330086,0.203754,-0.014362,0.037606,0.154705,0.034852,-0.815772,0.556208
320348.363906,0.198259,-0.012025,0.039869,0.143408,0.034736,-0.817696,0.556418
320348.397726,0.190666,-0.009461,0.042689,0.131645,0.033519,-0.820307,0.555557
320348.431545,0.182645,-0.006339,0.046051,0.120071,0.031296,-0.823758,0.553197
320348.465365,0.173279,-0.003334,0.049932,0.109412,0.026882,-0.827166,0.550549
320348.499185,0.163600,-0.001823,0.054153,0.100897,0.019639,-0.830126,0.548017
320348.533004,0.152742,-0.000302,0.057802,0.094032,0.010883,-0.832136,0.546435
320348.566824,0.141713,0.000812,0.061048,0.086343,0.002300,-0.833657,0.545487
320348.600644,0.130132,0.001872,0.064399,0.077008,-0.005802,-0.833388,0.547267
320348.634464,0.118032,0.003746,0.068048,0.066404,-0.012934,-0.831227,0.551803
320348.668283,0.105594,0.006561,0.071545,0.056757,-0.019281,-0.829343,0.555523
320348.702103,0.093851,0.009608,0.075163,0.045837,-0.023779,-0.827129,0.559642
